Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.25288,t2,0,275,0,bid,222.0,Trader_AA,2,1
0.25299,t7,0,150,0,bid,198.0,Trader_AA,2,1
0.2531,t12,0,100,0,ask,236.0,Trader_AA,2,1
0.2532,t6,0,175,0,bid,206.0,Trader_AA,2,1
0.25334,t9,0,100,0,bid,181.0,Trader_AA,2,1
0.25346,t16,0,200,0,ask,230.0,Trader_AA,2,1
0.25357,t17,0,225,0,ask,228.0,Trader_AA,2,1
0.25368,t4,0,225,0,bid,223.0,Trader_AA,2,1
0.25379,t10,0,75,0,bid,174.0,Trader_AA,2,1
0.25391,t17,0,225,0,ask,227.0,Trader_AA,2,2
0.25402,t14,0,150,0,ask,224.0,Trader_AA,2,2
0.25413,t0,0,325,0,bid,225.0,Trader_AA,2,2,"Contract:(224.0, 't0', 't14', 0.25413)"
0.25429,t20,0,300,0,ask,367.0,Trader_AA,2,2
0.25444,t12,0,100,0,ask,278.0,Trader_AA,2,2
0.25455,t18,0,250,0,ask,269.0,Trader_AA,2,2
0.25465,t1,0,300,0,bid,91.0,Trader_AA,2,2
0.25476,t11,0,75,0,ask,209.0,Trader_AA,2,2
0.25487,t8,0,125,0,bid,102.0,Trader_AA,2,2
0.25498,t10,0,75,0,bid,93.0,Trader_AA,2,2
0.25518,t21,0,325,0,ask,248.0,Trader_AA,2,2
0.25541,t16,0,200,0,ask,206.0,Trader_AA,2,2
0.25565,t7,0,150,0,bid,118.0,Trader_AA,2,2
0.25579,t3,0,250,0,bid,149.0,Trader_AA,2,2
0.2559,t19,0,275,0,ask,229.0,Trader_AA,2,2
0.25601,t2,0,275,0,bid,169.0,Trader_AA,2,2
0.25612,t6,0,175,0,bid,171.0,Trader_AA,2,2
0.25623,t9,0,100,0,bid,147.0,Trader_AA,2,2
0.25643,t15,0,175,0,ask,196.0,Trader_AA,2,2
0.25654,t4,0,225,0,bid,181.0,Trader_AA,2,2
0.25667,t19,0,275,0,ask,222.0,Trader_AA,2,3
0.25681,t1,0,300,0,bid,187.0,Trader_AA,2,3
0.25693,t3,0,250,0,bid,191.0,Trader_AA,2,3
0.25718,t10,0,75,0,bid,152.0,Trader_AA,2,3
0.25735,t20,0,300,0,ask,231.0,Trader_AA,2,3
0.25749,t16,0,200,0,ask,197.0,Trader_AA,2,3
0.25761,t18,0,250,0,ask,214.0,Trader_AA,2,3
0.25772,t17,0,225,0,ask,206.0,Trader_AA,2,3
0.25783,t12,0,100,0,ask,193.0,Trader_AA,2,3
0.25795,t4,0,225,0,bid,193.0,Trader_AA,2,3
0.25806,t7,0,150,0,bid,179.0,Trader_AA,2,3
0.25818,t9,0,100,0,bid,162.0,Trader_AA,2,3
0.25834,t8,0,125,0,bid,170.0,Trader_AA,2,3
0.25855,t6,0,175,0,bid,187.0,Trader_AA,2,3
0.25867,t15,0,175,0,ask,192.0,Trader_AA,2,3,"Contract:(193.0, 't4', 't15', 0.25867)"
0.2588,t2,0,275,0,bid,92.0,Trader_AA,2,3
0.25892,t21,0,325,0,ask,375.0,Trader_AA,2,3
0.25903,t11,0,75,0,ask,280.0,Trader_AA,2,3
0.2594,t11,0,75,0,ask,217.0,Trader_AA,2,4
